Basin,Sample ID,Lithology,Epoch,Wt. % TOC
Hanna Basin,2018-L17-223.29z,carbclaystone,Eocene,7.47
Hanna Basin,18 BR JCCS 02-11.5,siltstone,Eocene,1.37
Hanna Basin,18 BR JCCS 02-11.7,claystone,Eocene,0.88
Hanna Basin,2018-L17-223.59,sandstone,Eocene,0.12
Hanna Basin,2018-L17-223.59z,sandstone,Eocene,0.13
Hanna Basin,18 BR JCCS 02-12.3,sandstone,Eocene,3.98
Hanna Basin,18 BR JCCS 02-12.3z,sandstone,Eocene,3.61
Hanna Basin,18 BR JCCS 02-12.95,claystone,Eocene,0.54
Hanna Basin,18 BR JCCS 02-13.45,claystone,Eocene,0.25
Hanna Basin,18 BR JCCS 02-13.95,sandstone,Eocene,0.16
Hanna Basin,2018-L17-231.43,sandstone,Eocene,0.16
Hanna Basin,2018-L17-231.43z,sandstone,Eocene,0.14
Hanna Basin,2018-L17-232.58,sandstone,Eocene,0.2
Hanna Basin,2018-L17-247.50,carbclaystone,Eocene,1.79
Hanna Basin,2018-L17-247.50z,carbclaystone,Eocene,1.63
Hanna Basin,2018-L17-247.80,carbclaystone,Eocene,5.91
Hanna Basin,2018-L17-248.40,carbclaystone,Eocene,7.38
Hanna Basin,2018-L17-248.40z,carbclaystone,Eocene,7.17
Hanna Basin,2018-L17-253.00,carbclaystone,Eocene,3
Hanna Basin,2018-L17-257.00,carbclaystone,Eocene,2.66
Hanna Basin,2018-L17-257.00z,carbclaystone,Eocene,2.87
Hanna Basin,18 BR JCCS 01-0.7,siltstone,Eocene,0.15
Hanna Basin,18 BR JCCS 01-0.7z,siltstone,Eocene,0.11
Hanna Basin,18 BR JCCS 01-1.45,siltstone,Eocene,0.13
Hanna Basin,18 BR JCCS 01-2.0,sandstone,Eocene,0.07
Hanna Basin,18 BR JCCS 01-3.17,sandstone,Eocene,0.18
Hanna Basin,2018-L17-268.50,claystone,Eocene,1.58
Hanna Basin,2018-L17-268.50z,claystone,Eocene,1.52
Hanna Basin,18 BR JCCS 01-3.55,claystone,Eocene,1.12
Hanna Basin,18 BR JCCS 01-3.55z,claystone,Eocene,1.17
Hanna Basin,18 BR JCCS 01-3.8,claystone,Eocene,1.61
Hanna Basin,2018-L17-269.00,carbclaystone,Eocene,1.16
Hanna Basin,18 BR JCCS 01-4.4,claystone,Eocene,0.29
Hanna Basin,18 BR JCCS 01-5.0,siltstone,Eocene,0.41
Hanna Basin,18 BR JCCS 01-5.32,siltstone,Eocene,1.03
Hanna Basin,18 BR JCCS 01-5.32z,siltstone,Eocene,0.66
Hanna Basin,2018-L17-270.80,carbclaystone,Eocene,2.66
Hanna Basin,2018-L17-270.80z,carbclaystone,Eocene,2.29
Hanna Basin,18 BR JCCS 01-5.75,siltstone,Eocene,0.19
Hanna Basin,18 BR JCCS 01-5.75z,siltstone,Eocene,0.13
Hanna Basin,18 BR JCCS 01-6.05,siltstone,Eocene,0.15
Hanna Basin,18 BR JCCS 01-6.57,siltstone,Eocene,0.76
Hanna Basin,18 BR JCCS 01-7.05,sandstone,Eocene,0.06
