Basin,Epoch,Age,E_nC29_alkane,E_nC29_alkane_1sd,E_nC31_alkane,E_nC31_alkane_1sd,d13Catm,d13Catm_1sd,d13CnC29_alkane,d13CnC29_alkane_1sd,d13CnC31_alkane,d13CnC31_alkane_1sd
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-31.3,0.2,-32.6,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-31.42,0.2,-32.28,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-30.7,0.2,-31.1,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-31.6,0.1,-32.6,0.1
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-30.7,0.2,-31.4,0.2
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-31.1,0.1,-31.4,0
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-30.71,0.2,-30.34,0.2
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-31.21,0.2,-31.44,0.2
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-32.33,0.2,-32.56,0.2
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-31.95,0.2,-32.53,0.2
Bighorn Basin,Paleocene,56.1,-5.2,2.4,-5.6,2.5,-4.69,0.4,-32.03,0.2,-32.45,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.69,0.4,-31,0.2,-31.8,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.69,0.4,-30.9,0.1,-31.6,0
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.69,0.4,-30.9,0.2,-31.9,0.2
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,-32.01,0.2,-32.83,0.2
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,-30.68,0.2,-29.78,0.2
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,-29.75,0.2,-29.47,0.2
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,-30.77,0.2,-31.04,0.2
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,-31.15,0.2,-31.5,0.2
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,-30.9,0.2,-30.8,0.2
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,-28.9,0.2,-31.4,0.2
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,-30.16,0.2,-30.11,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-31.38,0.2,-31.59,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-32.88,0.2,-33.24,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-30.36,0.2,-31.42,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-32.59,0.2,-33.46,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-32.15,0.2,-31.92,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-32.32,0.2,-32.84,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,-30.37,0.2,-30.41,0.2
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,63,-5.2,2.4,-5.6,2.5,-5.5,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,59.39,-5.2,2.4,-5.6,2.5,-4.72,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Paleocene,57.39,-5.2,2.4,-5.6,2.5,-4.23,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Hanna Basin,NaN,,-5.2,2.4,-5.6,2.5,,,-30.89,0.2,NaN,NaN
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-34.04,0.06,-33.29,0.09
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-34.02,0.07,-33.2,0.13
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.94,0.2,-31.64,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.47,0.2,-32.02,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.95,0.2,NaN,NaN
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.69,0.2,-33.55,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.64,0.2,-32.8,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.26,0.2,-33.05,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.48,0.22,-30.99,0.24
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-32.19,0.2,-31.28,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-32.32,0.2,-32.35,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-32.83,0.2,-32,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.67,0.55,-32.38,0.39
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.49,0.2,-32.89,0.2
Hanna Basin,Paleocene,61,-5.2,2.4,-5.6,2.5,-5.64,0.4,-30.81,0.11,-32.23,0.08
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.18,0.3,-33,0.12
Hanna Basin,Paleocene,60,-5.2,2.4,-5.6,2.5,-5.1,0.4,-30.41,0.28,-31.38,0.13
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-32.72,0.13,-34.33,0.03
Hanna Basin,NaN,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-30.86,0.11,-37.79,0.2
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-30.88,0.13,-31.87,0.38
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-31.01,0.2,NaN,NaN
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,NaN,NaN,NaN,NaN
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-32.97,0.2,-36.92,0.2
Hanna Basin,PETM,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.45,0.04,-37.39,0.06
Hanna Basin,NaN,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-33.75,0.53,-36.35,0.62
Hanna Basin,NaN,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-31.87,0.13,-33.86,0.06
Hanna Basin,NaN,NaN,-5.2,2.4,-5.6,2.5,NaN,NaN,-30.49,0.25,-31.66,0.13
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.41,0.2,NaN,NaN
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.69,0.2,-33.23,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.04,0.2,-31.92,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-29.93,0.2,-32.82,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.69,0.2,-32.26,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.58,0.2,-32.58,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,NaN,NaN,NaN,NaN
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.46,0.2,-32.94,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-29.49,0.2,-31.32,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-31.65,0.2,-33.28,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.21,0.2,-33.16,0.2
Hanna Basin,Eocene,54,-5.2,2.4,-5.6,2.5,-5.56,0.4,-30.29,0.2,-32.28,0.2
Hanna Basin,Paleocene,60,-5.2,2.4,-5.6,2.5,-5.1,0.4,-29.55,0.2,-31.16,0.2
Hanna Basin,Paleocene,60,-5.2,2.4,-5.6,2.5,-5.1,0.4,-31.22,0.2,-32.74,0.2
Hanna Basin,Paleocene,60,-5.2,2.4,-5.6,2.5,-5.1,0.4,NaN,NaN,NaN,NaN
