Basin,Epoch,unique_ID,values,ID
Bighorn Basin,Eocene,10,29.7,ACL
Bighorn Basin,Eocene,11,28.6,ACL
Bighorn Basin,Eocene,12,29.2,ACL
Bighorn Basin,Eocene,13,28.7,ACL
Bighorn Basin,Eocene,14,28.9,ACL
Bighorn Basin,Eocene,15,29.1,ACL
Bighorn Basin,Eocene,16,29.3,ACL
Bighorn Basin,Eocene,17,29.2,ACL
Bighorn Basin,Eocene,18,29.3,ACL
Bighorn Basin,Paleocene,19,29.5,ACL
Bighorn Basin,Paleocene,20,29.5,ACL
Bighorn Basin,Paleocene,21,29.5,ACL
Bighorn Basin,Paleocene,22,28.9,ACL
Bighorn Basin,Paleocene,23,28.7,ACL
Bighorn Basin,Paleocene,24,28.7,ACL
Bighorn Basin,Paleocene,25,29.3,ACL
Bighorn Basin,Paleocene,26,28.3,ACL
Bighorn Basin,Paleocene,27,28.6,ACL
Bighorn Basin,Paleocene,28,28.8,ACL
Bighorn Basin,Paleocene,29,29.5,ACL
Bighorn Basin,Paleocene,30,29.1,ACL
Bighorn Basin,Paleocene,31,29.2,ACL
Bighorn Basin,Paleocene,32,28.9,ACL
Bighorn Basin,Paleocene,33,29.6,ACL
Bighorn Basin,Paleocene,34,29.4,ACL
Bighorn Basin,Paleocene,35,29,ACL
Bighorn Basin,Paleocene,36,29.3,ACL
Bighorn Basin,Paleocene,37,28.8,ACL
Bighorn Basin,Paleocene,38,28.9,ACL
Bighorn Basin,Paleocene,39,28.8,ACL
Bighorn Basin,Paleocene,40,29.4,ACL
Bighorn Basin,Paleocene,41,29.2,ACL
Bighorn Basin,Paleocene,42,29.6,ACL
Bighorn Basin,Paleocene,43,29.9,ACL
Hanna Basin,Eocene,44,29.4,ACL
Hanna Basin,Eocene,45,28.8,ACL
Hanna Basin,Eocene,46,28.8,ACL
Hanna Basin,Eocene,47,28.9,ACL
Hanna Basin,Eocene,48,28,ACL
Hanna Basin,Eocene,49,28.2,ACL
Hanna Basin,Eocene,50,28.4,ACL
Hanna Basin,Eocene,51,28.5,ACL
Hanna Basin,Eocene,52,29.4,ACL
Hanna Basin,Eocene,53,28.2,ACL
Hanna Basin,Eocene,54,28.9,ACL
Hanna Basin,Eocene,55,28.6,ACL
Hanna Basin,Eocene,56,28.2,ACL
Hanna Basin,Eocene,57,29,ACL
Hanna Basin,Paleocene,58,30.1,ACL
Hanna Basin,Eocene,59,30.5,ACL
Hanna Basin,Paleocene,60,30.1,ACL
Hanna Basin,PETM,61,30.5,ACL
Hanna Basin,PETM,62,29.6,ACL
Hanna Basin,PETM,63,28.6,ACL
Hanna Basin,PETM,64,,ACL
Hanna Basin,PETM,65,30.1,ACL
Hanna Basin,PETM,66,30.2,ACL
Bighorn Basin,PETM,67,0,ACL
Bighorn Basin,Eocene,1,83.8,Total Diterp
Bighorn Basin,Eocene,2,45.8,Total Diterp
Bighorn Basin,Eocene,3,1.3,Total Diterp
Bighorn Basin,Eocene,4,2.7,Total Diterp
Bighorn Basin,Eocene,5,127,Total Diterp
Bighorn Basin,Eocene,6,7.8,Total Diterp
Bighorn Basin,Eocene,7,0.6,Total Diterp
Bighorn Basin,Eocene,8,0.2,Total Diterp
Bighorn Basin,Eocene,9,3.4,Total Diterp
Bighorn Basin,Eocene,10,6.2,Total Diterp
Bighorn Basin,Eocene,11,0,Total Diterp
Bighorn Basin,Eocene,12,3.9,Total Diterp
Bighorn Basin,Eocene,13,1.3,Total Diterp
Bighorn Basin,Eocene,14,10.1,Total Diterp
Bighorn Basin,Eocene,15,1.4,Total Diterp
Bighorn Basin,Eocene,16,2.7,Total Diterp
Bighorn Basin,Eocene,17,3,Total Diterp
Bighorn Basin,Eocene,18,3.2,Total Diterp
Bighorn Basin,Paleocene,19,20.4,Total Diterp
Bighorn Basin,Paleocene,20,20,Total Diterp
Bighorn Basin,Paleocene,21,29.3,Total Diterp
Bighorn Basin,Paleocene,22,0,Total Diterp
Bighorn Basin,Paleocene,23,0,Total Diterp
